District,crop_name,crop_type,Area,Production
SAMASTIPUR,Pineapple,fruits,-,-
SARAN,Pineapple,fruits,-,-
SHEIKHPURA,Pineapple,fruits,-,-
SHEOHAR,Pineapple,fruits,-,-
SITAMARHI,Pineapple,fruits,-,-
SIWAN,Pineapple,fruits,-,-
SUPAUL,Pineapple,fruits,-,-
VAISHALI,Pineapple,fruits,-,-
ARARIA,Sweet Orange,fruits,-,-
ARWAL,Sweet Orange,fruits,-,-
AURANGABAD,Sweet Orange,fruits,-,-
BANKA,Sweet Orange,fruits,-,-
BEGUSARAI,Sweet Orange,fruits,-,-
BHAGALPUR,Sweet Orange,fruits,-,-
BHOJPUR,Sweet Orange,fruits,-,-
BUXAR,Sweet Orange,fruits,500,5500
DARBHANGA,Sweet Orange,fruits,-,-
GAYA,Sweet Orange,fruits,-,-
GOPALGANJ,Sweet Orange,fruits,-,-
JAMUI,Sweet Orange,fruits,-,-
JEHANABAD,Sweet Orange,fruits,-,-
KAIMUR (BHABUA),Sweet Orange,fruits,-,-
KATIHAR,Sweet Orange,fruits,-,-
KHAGARIA,Sweet Orange,fruits,-,-
KISHANGANJ,Sweet Orange,fruits,-,-
LAKHISARAI,Sweet Orange,fruits,-,-
MADHEPURA,Sweet Orange,fruits,-,-
MADHUBANI,Sweet Orange,fruits,-,-
MUNGER,Sweet Orange,fruits,-,-
MUZAFFARPUR,Sweet Orange,fruits,-,-
NALANDA,Sweet Orange,fruits,-,-
NAWADA,Sweet Orange,fruits,-,-
PASHCHIM CHAMPARAN,Sweet Orange,fruits,-,-
PATNA,Sweet Orange,fruits,-,-
PURBI CHAMPARAN,Sweet Orange,fruits,-,-
PURNIA,Sweet Orange,fruits,-,-
ROHTAS,Sweet Orange,fruits,-,-
SAHARSA,Sweet Orange,fruits,-,-
SAMASTIPUR,Sweet Orange,fruits,-,-
SARAN,Sweet Orange,fruits,-,-
SHEIKHPURA,Sweet Orange,fruits,-,-
SHEOHAR,Sweet Orange,fruits,-,-
SITAMARHI,Sweet Orange,fruits,-,-
SIWAN,Sweet Orange,fruits,-,-
SUPAUL,Sweet Orange,fruits,-,-
VAISHALI,Sweet Orange,fruits,-,-
ARARIA,Watermelon,fruits,-,-
